iter	Passed	Remaining
0	182	182071
1	211	105554
2	223	74143
3	226	56489
4	236	47050
5	238	39508
6	240	34125
7	242	30072
8	245	27077
9	250	24750
10	251	22648
11	253	20902
12	255	19430
13	262	18510
14	266	17476
15	268	16491
16	270	15634
17	272	14893
18	275	14198
19	280	13759
20	283	13204
21	285	12669
22	286	12190
23	288	11740
24	293	11463
25	298	11191
26	300	10835
27	302	10494
28	304	10186
29	316	10240
30	318	9967
31	322	9745
32	324	9520
33	332	9438
34	334	9230
35	337	9041
36	340	8851
37	345	8739
38	347	8561
39	350	8419
40	353	8265
41	355	8111
42	358	7985
43	361	7845
44	365	7749
45	368	7634
46	369	7500
47	374	7420
48	376	7305
49	378	7189
50	381	7092
51	383	6983
52	384	6877
53	386	6775
54	390	6707
55	392	6613
56	394	6521
57	396	6442
58	398	6359
59	400	6277
60	402	6200
61	404	6126
62	411	6118
63	414	6069
64	416	5994
65	421	5963
66	425	5927
67	427	5860
68	429	5794
69	431	5730
70	433	5670
71	437	5643
72	440	5594
73	442	5535
74	444	5476
75	445	5418
76	447	5362
77	453	5361
78	456	5321
79	458	5272
80	460	5224
81	462	5176
82	463	5119
83	467	5101
84	469	5059
85	471	5014
86	473	4973
87	475	4929
88	477	4888
89	481	4866
90	483	4827
91	485	4791
92	488	4760
93	490	4723
94	491	4686
95	494	4654
96	497	4630
97	499	4593
98	500	4557
99	502	4521
100	504	4487
101	505	4453
102	509	4439
103	512	4411
104	514	4384
105	516	4357
106	518	4329
107	521	4308
108	529	4330
109	532	4311
110	537	4308
111	543	4306
112	546	4288
113	548	4264
114	551	4240
115	559	4263
116	561	4236
117	563	4215
118	567	4197
119	569	4175
120	576	4189
121	578	4160
122	580	4139
123	584	4126
124	586	4102
125	589	4088
126	591	4063
127	593	4042
128	595	4019
129	597	3995
130	598	3972
131	604	3975
132	606	3955
133	609	3936
134	610	3913
135	612	3889
136	613	3867
137	618	3862
138	620	3842
139	622	3826
140	625	3810
141	626	3788
142	629	3770
143	632	3761
144	634	3741
145	636	3723
146	638	3707
147	640	3687
148	642	3668
149	644	3650
150	648	3643
151	649	3625
152	651	3609
153	653	3591
154	655	3573
155	657	3556
156	659	3539
157	663	3534
158	665	3518
159	667	3502
160	668	3482
161	669	3464
162	671	3447
163	673	3430
164	674	3414
165	678	3409
166	680	3395
167	682	3379
168	684	3363
169	685	3347
170	687	3331
171	689	3316
172	691	3306
173	694	3299
174	696	3284
175	698	3269
176	699	3254
177	701	3240
178	703	3225
179	704	3211
180	709	3209
181	711	3195
182	712	3181
183	714	3167
184	715	3153
185	717	3139
186	719	3127
187	722	3122
188	724	3110
189	727	3099
190	728	3087
191	731	3078
192	733	3067
193	736	3057
194	739	3053
195	741	3041
196	743	3029
197	744	3016
198	746	3004
199	748	2992
200	750	2984
201	754	2979
202	756	2968
203	757	2956
204	760	2948
205	762	2937
206	763	2925
207	766	2916
208	769	2911
209	771	2902
210	775	2898
211	776	2887
212	781	2889
213	786	2889
214	789	2883
215	791	2874
216	793	2864
217	796	2856
218	803	2865
219	806	2857
220	808	2848
221	811	2842
222	815	2841
223	817	2833
224	820	2826
225	823	2819
226	826	2815
227	832	2818
228	838	2823
229	841	2818
230	847	2821
231	850	2813
232	851	2803
233	853	2793
234	855	2783
235	856	2773
236	858	2763
237	862	2763
238	864	2753
239	867	2745
240	869	2736
241	870	2727
242	872	2717
243	877	2719
244	879	2710
245	881	2701
246	882	2691
247	884	2681
248	885	2671
249	887	2662
250	890	2656
251	892	2648
252	894	2639
253	895	2630
254	897	2621
255	898	2612
256	900	2602
257	901	2593
258	907	2597
259	909	2588
260	911	2579
261	912	2571
262	914	2562
263	916	2554
264	920	2552
265	922	2544
266	924	2536
267	925	2528
268	928	2522
269	930	2514
270	932	2508
271	936	2505
272	938	2497
273	939	2489
274	942	2483
275	943	2475
276	945	2467
277	947	2460
278	950	2457
279	952	2449
280	954	2441
281	956	2434
282	957	2426
283	959	2418
284	961	2413
285	968	2418
286	971	2413
287	973	2407
288	976	2402
289	978	2396
290	982	2393
291	984	2386
292	986	2379
293	988	2373
294	991	2368
295	996	2369
296	998	2364
297	1001	2359
298	1003	2352
299	1006	2347
300	1007	2340
301	1009	2332
302	1012	2329
303	1014	2322
304	1016	2316
305	1019	2311
306	1021	2305
307	1023	2298
308	1030	2303
309	1033	2299
310	1035	2293
311	1036	2286
312	1038	2279
313	1042	2278
314	1045	2272
315	1049	2271
316	1051	2265
317	1053	2258
318	1057	2257
319	1060	2253
320	1062	2246
321	1065	2243
322	1073	2250
323	1078	2250
324	1081	2245
325	1091	2257
326	1096	2256
327	1103	2260
328	1107	2258
329	1109	2253
330	1130	2284
331	1136	2287
332	1139	2282
333	1149	2292
334	1152	2287
335	1155	2282
336	1157	2277
337	1160	2272
338	1168	2277
339	1170	2272
340	1172	2266
341	1183	2276
342	1185	2270
343	1188	2265
344	1190	2260
345	1195	2259
346	1198	2254
347	1200	2249
348	1203	2244
349	1205	2239
350	1211	2240
351	1214	2235
352	1216	2229
353	1219	2225
354	1221	2219
355	1223	2213
356	1226	2208
357	1228	2202
358	1230	2196
359	1233	2192
360	1237	2189
361	1239	2185
362	1243	2182
363	1246	2177
364	1254	2182
365	1260	2182
366	1262	2177
367	1267	2176
368	1270	2172
369	1273	2168
370	1277	2165
371	1279	2160
372	1283	2156
373	1285	2151
374	1287	2146
375	1290	2141
376	1292	2135
377	1299	2138
378	1302	2133
379	1306	2131
380	1308	2126
381	1312	2123
382	1315	2118
383	1316	2112
384	1319	2107
